11111111|1|23232323|01/01/2014|
22222222|1|23232323|01/01/2014|
33333333|1|08621591|01/01/2014|
49587533|1|08587535|01/01/2014|
90232122|1|08621592|01/01/2014|
90232123|1|08587536|01/01/2014|
90232124|1|08621593|01/01/2014|
90232125|1|08621597|01/01/2014|
90232126|1|08587537|01/01/2014|
90232127|1|08621594|01/01/2014|
90232128|1|22222233|01/01/2014|
90232129|1|99992323|01/01/2014|
90232130|1|08587538|01/01/2014|
90232131|1|08621595|01/01/2014|
90232132|1|08587539|01/01/2014|
90232133|1|08621596|01/01/2014|
90232134|1|08587590|01/01/2014|
90232135|1|08621507|01/01/2014|
90232136|1|22233344|01/01/2014|
90232137|1|99992323|01/01/2014|
90232138|1|08587591|01/01/2014|
90232139|1|00000001|01/01/2014|
90232140|1|00000002|01/01/2014|
90232141|1|00000003|01/01/2014|
90232142|1|00000004|01/01/2014|
90232143|1|00000005|02/01/2014|
90232144|1|00000006|03/01/2014|
11111111|1|00000007|04/01/2014|
22222222|1|00000007|05/01/2014|
33333333|1|08587534|06/01/2014|
49587533|1|00000009|07/01/2014|
90232122|1|00000010|08/01/2014|
90232123|1|00000011|09/01/2014|
90232124|1|00000012|10/01/2014|
90232125|1|00000013|11/01/2014|
90232126|1|00000014|12/01/2014|
90232127|1|00000015|13/01/2014|
90232128|1|00000029|14/01/2014|
90232129|1|00000016|15/01/2014|
90232130|1|00000017|16/01/2014|
90232131|1|00000012|17/01/2014|
90232132|1|00000029|18/01/2014|
90232133|1|00000018|19/01/2014|
90232134|1|00000019|20/01/2014|
90232135|1|00000022|21/01/2014|
90232136|1|00000020|22/01/2014|
90232137|1|00000016|23/01/2014|
90232138|1|00000023|24/01/2014|
90232139|1|00000022|25/01/2014|
90232140|1|00000024|26/01/2014|
90232141|1|00000025|27/01/2014|
90232142|1|00000026|28/01/2014|
90232143|1|00000027|29/01/2014|
90232144|1|00000028|30/01/2014|
